,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
264,3,5 Maidan by Skyi,Baner,Enerrgia Skyi Ventures,Possession in 2026, 95 Lac - 98 Lac                                                             , 2.29 Cr - 2.75 Cr                                                             ,1700 - 1802 sqft,877 - 950 sqft,6.0
265,4,Rohan Nidita,Hinjawadi,Rohan Builders &amp; Developers Pvt. Ltd.,Possession in 2026, 60.3 Lac - 70.9 Lac                                                             , 76.4 Lac - 99 Lac                                                             ,751 - 984 sqft,541 - 642 sqft,7.0
266,5,Vivencia,Koregaon Park,VMond Realty,Possession in 2026, 1.03 Cr - 1.19 Cr                                                             , 2.25 Cr                                                             ,890  sqft,1024 - 1191 sqft,0.0
267,6,Palladio Kharadi Central,Kharadi,Vilas Javdekar Developers,Possession in 2026, 3.16 Cr - 3.27 Cr                                                             , 3.80 Cr - 4.31 Cr                                                             ,1552 - 1766 sqft,1278 - 1323 sqft,6.0
268,7,Itrend Futura,Mahalunge,Saheel Properties &amp; Kohinoor Developers,Possession in 2028, 1 Cr - 1.10 Cr                                                             , 1.50 Cr - 1.54 Cr                                                             ,1030 - 1080 sqft,755 - 830 sqft,4.0
269,8,Gera World of Joy,Kharadi,Gera Developments Pvt. Ltd.,Possession in 2026, 1.75 Cr                                                             , 78.5 Lac - 84.5 Lac                                                             ,770 - 776 sqft,1315  sqft,7.0
270,9,Rohan Abhilasha 3,Wagholi,Rohan Builders &amp; Developers Pvt. Ltd.,Possession in 2027, 1.12 Cr - 1.16 Cr                                                             , 73 Lac - 99 Lac                                                             ,714 - 877 sqft,1115 - 1120 sqft,5.0
271,10,Mirai Phase I,"Punawale, Pimpri Chinchwad",GK Associates &amp; Aishwaryam Group,Possession in 2026, 88 Lac - 1.52 Cr                                                             , 1.81 Cr                                                             ,1550  sqft,1100 - 1250 sqft,6.0
272,11,Sentosa Pride,"Punawale, Pimpri Chinchwad",Sentosa Developers,Possession in 2026, 36.1 Lac - 39 Lac                                                             , 63.3 Lac - 70 Lac                                                             ,776 - 875 sqft,435  sqft,5.0
273,12,Lodha Panache,Hinjawadi,Lodha,Possession in 2026, 60 Lac - 72 Lac                                                             , 90 Lac                                                             ,1020  sqft,719  sqft,6.0
274,13,Sense 66,Talegaon Dabhade,Tata Value Homes,Possession in 2026, 69.5 Lac - 73.5 Lac                                                             , 97 Lac - 1 Cr                                                             ,1237 - 1277 sqft,860 - 917 sqft,7.0
275,14,Lake Bliss,Kusgaon PM,Life Reality,Possession in 2023, 92.7 Lac - 93.5 Lac                                                             , 1.24 Cr - 1.39 Cr                                                             ,1122 - 1133 sqft,862 - 875 sqft,9.0
276,15,Vantage Twenty One,"Pimple Saudagar, Pimpri Chinchwad",Yashada Realty Group,Possession in 2024, 2 Cr                                                             , 1.12 Cr                                                             ,878  sqft,1744  sqft,7.0
277,16,Address One,Bibwewadi,Ram India Group,Possession in 2026, 1.62 Cr                                                             , 48.4 Lac - 3.22 Cr                                                             ,3228 - 21520 sqft,1235  sqft,2.0
278,17,Gagan Myra,Kondhwa,Gagan Developers,Possession in 2027, 1.62 Cr                                                             , 48.4 Lac - 3.22 Cr                                                             ,3228 - 21520 sqft,1235  sqft,4.0
